ioc,total_points,player_count,average_rank,average_height,top_100_players,best_player_name,best_player_rank
ITA,30036,182,1081.0,183.5,9.0,Jannik Sinner,1
USA,29990,218,1118.0,183.0,8.0,Taylor Fritz,4
FRA,25054,164,912.0,185.3,12.0,Ugo Humbert,14
ESP,17481,96,1046.0,182.2,6.0,Carlos Alcaraz,3
AUS,15731,79,1032.0,183.5,9.0,Alex De Minaur,9
RUS,15396,71,1044.0,186.7,5.0,Daniil Medvedev,5
ARG,14717,88,907.0,180.8,8.0,Sebastian Baez,27
GER,14480,93,1058.0,187.2,4.0,Alexander Zverev,2
GBR,8383,82,1112.0,184.7,3.0,Jack Draper,15
SRB,7130,30,1034.0,185.8,3.0,Novak Djokovic,7
CZE,6769,48,1019.0,185.8,3.0,Tomas Machac,25
JPN,5689,76,1021.0,176.3,2.0,Yoshihito Nishioka,69
NOR,4446,6,992.0,186.2,1.0,Casper Ruud,6
CHI,4427,16,964.0,181.2,2.0,Alejandro Tabilo,23
CAN,4338,28,1090.0,184.1,3.0,Felix Auger Aliassime,29
BRA,4206,57,1097.0,181.4,1.0,Thiago Seyboth Wild,74
CHN,4194,41,1179.0,184.5,3.0,Zhizhen Zhang,45
BUL,4133,23,1098.0,184.8,1.0,Grigor Dimitrov,10
NED,4016,43,1074.0,186.3,2.0,Tallon Griekspoor,40
POL,3989,32,1179.0,186.7,1.0,Hubert Hurkacz,16
KAZ,3798,11,620.0,189.2,2.0,Alexander Bublik,33
DEN,3796,10,860.0,152.4,1.0,Holger Rune,13
BEL,3601,26,905.0,184.2,2.0,David Goffin,52
GRE,3382,12,1083.0,192.2,1.0,Stefanos Tsitsipas,11
SUI,3177,41,1108.0,185.4,0.0,Alexander Ritschard,118
POR,2978,25,1080.0,182.1,1.0,Nuno Borges,36
CRO,2287,20,924.0,190.2,1.0,Borna Coric,90
AUT,2266,30,1080.0,184.4,1.0,Sebastian Ofner,88
HUN,1970,17,1128.0,184.0,1.0,Fabian Marozsan,58
SVK,1626,19,1053.0,188.9,0.0,Jozef Kovalik,127
IND,1377,47,1345.0,181.4,1.0,Sumit Nagal,98
FIN,1350,8,1004.0,188.4,2.0,Otto Virtanen,94
ROU,1272,37,1194.0,184.0,0.0,Filip Cristian Jianu,214
TPE,1107,12,984.0,180.6,0.0,Chun Hsin Tseng,119
UKR,1096,20,894.0,178.7,0.0,Oleksandr Ovcharenko,310
COL,1018,17,1056.0,183.4,0.0,Daniel Elahi Galan,126
KOR,984,28,1221.0,179.9,0.0,Seong Chan Hong,150
BOL,983,4,542.0,185.8,0.0,Hugo Dellien,124
BIH,939,7,822.0,186.0,1.0,Damir Dzumhur,83
